,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_facility,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,dec_str_deg
3515,K2-55,b,K2-55 b,Transit,0,1,2.849258,3.3e-05,-3.3e-05,0.0,0.03486,0.00078,-0.00078,0.0,,,,,,,,,,,,,,0.341,0.028999999999999998,-0.028999999999999998,0.0,,,,,0,0,1,22h15m00.46s,333.751923,-17d15m02.5s,-17.250708,160.26,0.73,-0.73,0.0,160.26,0.73,-0.73,0.0,13.546,0.02,0.0,13.062000000000001,,0.0,4456.0,148.0,-148.0,0.0,0.7,0.05,-0.05,0.0,0.63,0.05,-0.05,0.0,2016-07-18,1,,,,,0.08358330000000001,0.0009167,-0.0009167,0.0,2456983.42298,0.0004,-0.0004,0.0,,,,,K2,11.23,0.023,0.0,10.615,0.024,0.0,-16.749305555555555
3516,K2-57,b,K2-57 b,Transit,0,1,9.0063,0.0013,-0.0013,0.0,0.0746,0.002,-0.002,0.0,,,,,,,,,,,,,,0.187,0.022000000000000002,-0.022000000000000002,0.0,,,,,0,0,1,22h50m46.01s,342.691711,-14d04m11.6s,-14.069885999999999,266.23,2.06,-2.06,0.0,266.23,2.06,-2.06,0.0,14.501,0.05,0.0,14.104000000000001,,0.0,4434.0,61.0,-61.0,0.0,0.68,0.06,-0.06,0.0,0.62,0.05,-0.05,0.0,2016-07-18,1,,,,,0.0954167,0.0075,-0.0075,0.0,2456984.336,0.0048,-0.0048,0.0,,,,,K2,12.35,0.024,0.0,11.761,0.021,0.0,-13.930111111111112
3517,K2-58,b,K2-58 b,Transit,0,3,7.05254,0.00032,-0.00032,0.0,0.0692,0.0021,-0.0021,0.0,,,,,,,,,,,,,,0.239,0.033,-0.033,0.0,,,,,0,0,1,22h15m17.23s,333.82180800000003,-14d02m59.3s,-14.049807999999999,182.69,1.43,-1.43,0.0,182.69,1.43,-1.43,0.0,12.378,0.03,0.0,12.132,,0.0,5413.0,255.0,-255.0,0.0,0.89,0.08,-0.08,0.0,0.86,0.1,-0.1,0.0,2016-07-18,1,,,,,0.079125,0.0032083,-0.0032083,0.0,2456986.9763,0.0015,-0.0015,0.0,,,,,K2,10.765,0.022000000000000002,0.0,10.314,0.023,0.0,-13.950194444444445
3518,K2-58,c,K2-58 c,Transit,0,3,2.53726,0.00017,-0.00017,0.0,0.035,0.0011,-0.0011,0.0,,,,,,,,,,,,,,0.145,0.021,-0.021,0.0,,,,,0,0,1,22h15m17.23s,333.82180800000003,-14d02m59.3s,-14.049807999999999,182.69,1.43,-1.43,0.0,182.69,1.43,-1.43,0.0,12.378,0.03,0.0,12.132,,0.0,5413.0,255.0,-255.0,0.0,0.89,0.08,-0.08,0.0,0.86,0.1,-0.1,0.0,2016-07-18,1,,,,,0.0831667,0.0034167,-0.0034167,0.0,2456982.12,0.0023,-0.0023,0.0,,,,,K2,10.765,0.022000000000000002,0.0,10.314,0.023,0.0,-13.950194444444445
3519,K2-58,d,K2-58 d,Transit,0,3,22.8827,0.004,-0.004,0.0,0.1517,0.0046,-0.0046,0.0,,,,,,,,,,,,,,0.153,0.022000000000000002,-0.022000000000000002,0.0,,,,,0,0,1,22h15m17.23s,333.82180800000003,-14d02m59.3s,-14.049807999999999,182.69,1.43,-1.43,0.0,182.69,1.43,-1.43,0.0,12.378,0.03,0.0,12.132,,0.0,5413.0,255.0,-255.0,0.0,0.89,0.08,-0.08,0.0,0.86,0.1,-0.1,0.0,2016-07-18,1,,,,,0.1333333,0.0091667,-0.0091667,0.0,2456998.0703,0.0052,-0.0052,0.0,,,,,K2,10.765,0.022000000000000002,0.0,10.314,0.023,0.0,-13.950194444444445
3520,K2-59,b,K2-59 b,Transit,0,2,20.6921,0.0033,-0.0033,0.0,0.1354,0.0043,-0.0043,0.0,,,,,,,,,,,,,,0.215,0.027999999999999997,-0.027999999999999997,0.0,,,,,0,0,1,22h35m46.16s,338.942352,-14d01m39.9s,-14.027745000000001,314.09,3.54,-3.54,0.0,314.09,3.54,-3.54,0.0,14.225999999999999,0.03,0.0,13.939,,0.0,5055.0,93.0,-93.0,0.0,0.77,0.07,-0.07,0.0,0.73,0.07,-0.07,0.0,2016-07-18,1,,,,,0.115,0.0075,-0.0075,0.0,2456987.0603,0.0043,-0.0043,0.0,,,,,K2,12.454,0.023,0.0,11.981,0.021,0.0,-13.972249999999999
3521,K2-59,c,K2-59 c,Transit,0,2,11.2954,0.001,-0.001,0.0,0.0905,0.0028,-0.0028,0.0,,,,,,,,,,,,,,0.205,0.026000000000000002,-0.026000000000000002,0.0,,,,,0,0,1,22h35m46.16s,338.942352,-14d01m39.9s,-14.027745000000001,314.09,3.54,-3.54,0.0,314.09,3.54,-3.54,0.0,14.225999999999999,0.03,0.0,13.939,,0.0,5055.0,93.0,-93.0,0.0,0.77,0.07,-0.07,0.0,0.73,0.07,-0.07,0.0,2016-07-18,1,,,,,0.07291669999999999,0.005,-0.005,0.0,2456986.7095,0.0029,-0.0029,0.0,,,,,K2,12.454,0.023,0.0,11.981,0.021,0.0,-13.972249999999999
3522,K2-60,b,K2-60 b,Transit,0,1,3.00265,4e-05,-4e-05,0.0,0.045,0.003,-0.003,0.0,0.0,,,0.0,88.49,0.96,-0.96,0.0,0.426,0.037,-0.037,0.0,Mass,0.6829999999999999,0.037000000000000005,-0.037000000000000005,0.0,1.7,0.3,-0.3,0.0,0,0,1,22h34m25.48s,338.606171,-13d43m54.1s,-13.731701999999999,498.7,11.44,-11.44,0.0,498.7,11.44,-11.44,0.0,12.789000000000001,0.02,0.0,12.610999999999999,,0.0,5500.0,100.0,-100.0,0.0,0.97,0.07,-0.07,0.0,1.12,0.05,-0.05,0.0,2017-02-02,1,135.39558,11.75971,-11.75971,0.0,0.1283333,0.0041667,-0.0041667,0.0,2456928.0593,0.0007,-0.0007,0.0,0.21,0.13,-0.13,0.0,K2,11.41,0.021,0.0,11.085,0.025,0.0,-12.268305555555555
3523,K2-61,b,K2-61 b,Transit,0,1,2.57302,0.0002,-0.0002,0.0,0.0392,0.0024,-0.0024,0.0,,,,,,,,,,,,,,0.221,0.07,-0.07,0.0,,,,,0,0,1,22h38m41.94s,339.674744,-13d33m36.1s,-13.560023999999999,410.35,8.37,-8.37,0.0,410.35,8.37,-8.37,0.0,12.991,0.02,0.0,12.857999999999999,,0.0,6293.0,338.0,-338.0,0.0,1.21,0.22,-0.22,0.0,1.36,0.41,-0.41,0.0,2016-07-18,1,,,,,0.09708330000000001,0.00625,-0.00625,0.0,2456983.2196,0.0027,-0.0027,0.0,,,,,K2,11.758,0.022000000000000002,0.0,11.423,0.021,0.0,-12.439972222222222
3524,K2-62,b,K2-62 b,Transit,0,2,6.67202,0.00028,-0.00028,0.0,0.0636,0.0014,-0.0014,0.0,,,,,,,,,,,,,,0.191,0.019,-0.019,0.0,,,,,0,0,1,22h17m27.40s,334.364166,-12d11m15.0s,-12.187498,112.83,0.49,-0.49,0.0,112.83,0.49,-0.49,0.0,12.397,0.04,0.0,12.043,,0.0,4880.0,216.0,-216.0,0.0,0.77,0.05,-0.05,0.0,0.73,0.05,-0.05,0.0,2016-07-18,1,,,,,0.05875,0.0058333,-0.0058333,0.0,2456982.6843,0.0016,-0.0016,0.0,,,,,K2,10.374,0.023,0.0,9.811,0.025,0.0,-11.8125
