Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
DS Tuc A b,2020-08-03 06:05:53.375985,True,3.1764 h,95,90.75943557587073,0.0,156.33592570258094,120.0,120.0
HD 15337 b,2020-08-06 07:26:46.464017,True,2.4899999999999998 h,56,94.60025743942856,0.0,161.36122364281866,160.0,160.0
HD 15337 b,2020-08-25 08:02:11.904017,True,2.4899999999999998 h,56,94.9189206253324,0.0,161.4183685318447,160.0,160.0
GJ 9827 c,2020-08-23 04:45:50.920638,True,1.82496 h,32,93.29416685259756,0.0,160.60485776906532,200.0,200.0
GJ 9827 c,2020-08-12 06:06:04.515198,True,1.82496 h,32,93.30835846665511,0.0,160.60693114741542,200.0,200.0
GJ 9827 c,2020-08-01 07:26:18.109758,True,1.82496 h,32,93.14415617845546,0.0,160.58018239416617,200.0,200.0
GJ 9827 c,2020-07-21 08:46:31.704318,True,1.82496 h,32,92.83398764385745,0.0,160.52099636998204,200.0,200.0
GJ 9827 b,2020-08-19 07:05:53.441619,True,1.2648 h,22,92.86503399119889,0.0,160.52803260821472,200.0,200.0
GJ 9827 b,2020-07-04 08:30:24.067539,True,1.2648 h,22,93.32117732690003,0.0,160.60845997043904,200.0,200.0
GJ 9827 b,2020-07-21 06:43:28.573779,True,1.2648 h,22,93.15907681302474,0.0,160.5831305885928,200.0,200.0
GJ 9827 b,2020-07-27 07:48:08.754579,True,1.2648 h,22,93.2062613311461,0.0,160.59435663686065,200.0,200.0
GJ 9827 b,2020-08-02 08:52:48.935379,True,1.2648 h,22,92.2977382465273,0.0,160.40948914846737,200.0,200.0
GJ 9827 b,2020-08-13 06:01:13.260819,True,1.2648 h,22,93.32613297639651,0.0,160.60946355455053,200.0,200.0
GJ 9827 b,2020-09-11 06:23:38.128659,True,1.2648 h,22,92.17821328722512,0.0,160.38035820356615,200.0,200.0
GJ 9827 b,2020-08-25 08:10:33.622419,True,1.2648 h,22,91.45248249864358,0.0,160.18373527747943,200.0,200.0
GJ 9827 b,2020-08-30 04:14:17.767059,True,1.2648 h,22,93.19354697652557,0.0,160.59100975354747,200.0,200.0
GJ 9827 d,2020-06-30 08:48:16.429749,True,1.2228 h,22,93.32193063294332,0.0,160.60866120657155,200.0,200.0
GJ 9827 d,2020-07-31 08:58:51.383349,True,1.2228 h,22,92.34011433008038,0.0,160.41991381010064,200.0,200.0
GJ 9827 d,2020-08-25 04:19:19.346229,True,1.2228 h,22,93.11792945818415,0.0,160.57401429486998,200.0,200.0
GJ 9827 b,2020-06-28 07:25:43.886739,True,1.2648 h,22,92.73681391086673,0.0,160.50191402565238,200.0,200.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : GJ 9827 c,2020-08-01 06:31:33.181758,1.124203318559617,72.6022483553346,150.17903676829295,32.523128509521484,62.812843322753906
Eclipse Mid,2020-08-01 07:26:18.109758,1.0901037278212447,72.17539694776572,150.56872987229244,1.2518938779830933,66.54081726074219
Eclipse End,2020-08-01 08:21:03.037758,1.119481828879277,71.70383930166967,151.00315565711836,329.41119384765625,63.28712844848633
Eclipse Begin : GJ 9827 c,2020-08-12 05:11:19.587198,1.1875959661690827,64.50329506518396,83.3869618999969,47.635284423828125,57.355873107910156
Eclipse Mid,2020-08-12 06:06:04.515198,1.1059528191546508,64.93305647843458,82.98679497352937,23.40145492553711,64.71544647216797
Eclipse End,2020-08-12 07:00:49.443198,1.0926451325656594,65.32022801372995,82.62895283314631,350.14471435546875,66.23560333251953
Eclipse Begin : GJ 9827 c,2020-08-23 03:51:05.992638,1.2940221035123838,146.4160170673989,54.81506490037848,58.485862731933594,50.60457992553711
Eclipse Mid,2020-08-23 04:45:50.920638,1.1525304645658507,145.77552669960687,55.42428865229607,40.9960823059082,60.18738555908203
Eclipse End,2020-08-23 05:40:35.848638,1.0947310434278616,145.09813125573933,56.06930112443678,13.15395736694336,65.98886108398438
Eclipse Begin : GJ 9827 d,2020-06-30 08:11:35.389749,1.1643956543766558,137.07350354048188,115.59447948846683,43.5748291015625,59.183746337890625
Eclipse Mid,2020-06-30 08:48:16.429749,1.1121165232510108,136.64890892311595,115.99424985165776,27.06583023071289,64.05132293701172
Eclipse End,2020-06-30 09:24:57.469749,1.0909128988152421,136.20736216867766,116.41043064030653,5.738211154937744,66.44307708740234
Eclipse Begin : GJ 9827 d,2020-07-31 08:22:10.343349,1.116370262938758,85.11436612989421,138.49874960313235,330.8155212402344,63.60623550415039
Eclipse Mid,2020-07-31 08:58:51.383349,1.172517943437748,84.74065243946355,138.84712369182196,314.88214111328125,58.52470779418945
Eclipse End,2020-07-31 09:35:32.423349,1.2686066457270382,84.34711326597362,139.21546788187814,303.4111022949219,52.023799896240234
Eclipse Begin : GJ 9827 d,2020-08-25 03:42:38.306229,1.2961866908298283,118.320747521255,81.3278485552702,58.63471221923828,50.48822021484375
Eclipse Mid,2020-08-25 04:19:19.346229,1.1896112046322154,117.96843368818772,81.65533719815203,47.941192626953125,57.204673767089844
Eclipse End,2020-08-25 04:56:00.386229,1.1256971338240511,117.59530212368257,82.00338972482477,33.08900833129883,62.66518783569336
Eclipse Begin : HD 15337 b,2020-08-06 06:12:04.464017,1.653017795229197,49.34064481038598,149.33734266411446,106.88934326171875,37.22554397583008
Eclipse Mid,2020-08-06 07:26:46.464017,1.2414822303175586,49.16417614957546,149.0129826834113,103.60572814941406,53.65748596191406
Eclipse End,2020-08-06 08:41:28.464017,1.0625361586355822,48.9857594421667,148.67178497747258,103.20619201660156,70.24464416503906
Eclipse Begin : HD 15337 b,2020-08-25 06:47:29.904017,1.1377088576239243,133.14659134471418,83.18016932275734,102.8078384399414,61.5171012878418
Eclipse Mid,2020-08-25 08:02:11.904017,1.022133315343985,132.65977254274776,84.05349604893924,106.8973617553711,78.0547866821289
Eclipse End,2020-08-25 09:16:53.904017,1.005477432315319,132.12656360778075,84.9736088619415,239.6112518310547,84.0167465209961
Eclipse Begin : DS Tuc A b,2020-08-03 04:30:35.855985,1.624054411857325,54.840894985575474,173.52427599785617,161.05796813964844,38.00592041015625
Eclipse Mid,2020-08-03 06:05:53.375985,1.4482347058617113,54.858701004920526,173.9634649479741,169.40750122070312,43.669368743896484
Eclipse End,2020-08-03 07:41:10.895985,1.401273949269452,54.90902250099475,174.47208109531766,181.03269958496094,45.531551361083984
