Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
LTT 1445 A b,2020-11-20 03:45:28.531463,0.0075 d,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,2205.0
LTT 1445 A b,2020-12-06 05:36:32.503052,0.0084 d,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,2205.0
TOI-270 b,2020-10-17 05:58:43.131401,0.00195 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3528.0
TOI-270 b,2020-09-10 06:56:00.417101,0.001235 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3528.0
LTT 1445 A b,2020-10-08 06:51:51.783481,0.0050999999999999995 d,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,2205.0
Wolf 503 b,2020-07-13 00:41:41.889825,8e-05 d,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,800.0
Wolf 503 b,2020-07-19 00:44:14.234158,0.00016 d,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,800.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : KELT-10 b,2020-07-15 02:48:57.323764,1.1252767984611716,120.7435706369945,65.9910069132962,149.92794799804688,62.70662307739258
Eclipse Mid,2020-07-15 04:41:16.523764,1.089183224976458,121.79331189360876,64.88266917138326,194.7041778564453,66.65264892578125
Eclipse End,2020-07-15 06:33:35.723764,1.2463107023865372,122.74530856239954,63.925176803089066,223.01495361328125,53.356842041015625
Eclipse Begin : KELT-10 b,2020-08-09 02:46:52.700549,1.0833916637809957,95.85424112651101,117.18761209494079,187.893798828125,67.37273406982422
Eclipse Mid,2020-08-09 04:39:11.900549,1.2089251263743066,96.66244126384066,116.41693786329103,220.8555145263672,55.810245513916016
Eclipse End,2020-08-09 06:31:31.100549,1.6456583635491921,97.35581660140848,115.80357631747167,228.55711364746094,37.42046356201172
Eclipse Begin : KELT-14 b,2020-10-22 06:15:13.049092,1.4788356563491956,113.34736545602135,73.52902782393362,125.93626403808594,42.548004150390625
Eclipse Mid,2020-10-22 07:20:51.593092,1.2290635508528192,113.46917135615868,74.28534557611435,129.4441375732422,54.45188522338867
Eclipse End,2020-10-22 08:26:30.137092,1.1020113454594602,113.56334203557547,75.07442073392909,140.95933532714844,65.1528091430664
Eclipse Begin : KELT-14 b,2020-11-03 05:31:49.907106,1.459553243540595,73.93393057973425,151.24704636428646,126.0123519897461,43.246707916259766
Eclipse Mid,2020-11-03 06:37:28.451106,1.2190390314858115,73.90451362200295,150.97621621815918,129.8294219970703,55.116668701171875
Eclipse End,2020-11-03 07:43:06.995106,1.0972953372523566,73.85178811998277,150.70479790056856,142.0417938232422,65.69003295898438
Eclipse Begin : KELT-14 b,2020-11-15 04:48:28.274471,1.4408744198521737,101.84062669648642,3.0445112327927637,126.10199737548828,43.94941329956055
Eclipse Mid,2020-11-15 05:54:06.818471,1.2093300631899633,102.22442546863697,3.0869065937357543,130.24415588378906,55.78201675415039
Eclipse End,2020-11-15 06:59:45.362471,1.0927979159723518,102.57510590234996,3.3395121839948114,143.19264221191406,66.21741485595703
Eclipse Begin : KELT-14 b,2020-11-27 04:05:10.108091,1.4226298460554039,87.80596579199077,144.4681817187673,126.20683288574219,44.66203308105469
Eclipse Mid,2020-11-27 05:10:48.652091,1.1998535082170216,87.71956615679159,144.7848791043871,130.69410705566406,56.45323944091797
Eclipse End,2020-11-27 06:16:27.196091,1.0884839042202574,87.59462896456222,145.13938537900373,144.42625427246094,66.73807525634766
