,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid
940,AU Mic,b,AU Mic b,8.46321,0.066,0.375,0.18,311.2911369,-31.34245,,0.1,4.00E-05,8.81,4.831,5.436,4.529,3700,0.75,0.5,,,3.5,2458330.392
955,HD 95338,b,HD 95338 b,55.087,0.262,0.347,0.13353,164.8563364,-56.6235564,89.57,0.197,0.02,8.62,6.729,7.099,6.591,5212,0.87,0.83,385,0.207,4.276,2458585.28
959,TOI-700,b,TOI-700 b,9.97702,0.0677,0.093,0.00348,97.0957165,-65.5786149,89.66,0.081,0.00024,13.151,8.893,9.469,8.634,3461,0.42,0.42,417,0.0503,2.2632,2458490.987
960,TOI-700,c,TOI-700 c,16.05111,0.0929,0.236,0.0236,97.0957165,-65.5786149,88.868,0.078,6.20E-05,13.151,8.893,9.469,8.634,3461,0.42,0.42,356,0.329,1.4136,2458548.753
961,TOI-700,d,TOI-700 d,37.42475,0.1633,0.102,0.00495,97.0957165,-65.5786149,89.79,0.111,0.00036,13.151,8.893,9.469,8.634,3461,0.42,0.42,268.8,0.0613,3.3216,2458742.148
964,BD-11 4672,c,BD-11 4672 c,74.2,0.3,0.36,0.04836,278.3688659,-11.6370481,,0.4,0.06,10.03,7.031,7.651,6.867,4550,0.64,0.65,,,,
965,HIP 67522,b,HIP 67522 b,6.959503,,0.898,0.228,207.526001,-40.8358961,89.34,0.059,1.60E-05,9.79,8.287,8.587,8.164,5675,1.38,1.22,1174,,4.822,2458604.024
973,HD 86226,c,HD 86226 c,3.98442,0.049,0.193,0.02281,149.1235154,-24.0991859,86.45,0.075,0.00018,7.93,6.577,6.839,6.463,5863,1.05,1.02,1311,0.038973,3.12,2458543.254
1001,LTT 9779,b,LTT 9779 b,0.792052,0.01679,0.421,0.09225,358.6688334,-37.6282141,76.39,0,9.30E-06,9.79,8.153,8.446,8.016,5443,0.95,0.77,1978,0.15842,0.686972,2458354.214
1004,TOI-763,b,TOI-763 b,5.6057,0.06,0.203,0.0308,194.468098,-39.7580613,,0.04,0.0013,10.265,8.554,8.858,8.49,5450,0.9,0.92,1038,0.074126,2.777366,2458572.102
1006,TOI-763,c,TOI-763 c,12.2737,0.1011,0.235,0.02932,194.468098,-39.7580613,,0.04,0.0053,10.265,8.554,8.858,8.49,5450,0.9,0.92,800,0.097627,3.656382,2458572.966
1008,TOI-824,b,TOI-824 b,1.392978,0.02177,0.261,0.0581,222.1654705,-57.5888666,83.65,,1.80E-05,11.314,8.557,9.145001,8.432,4600,0.7,0.71,1253,0.149,1.15344,2458639.604
1012,TOI-540,b,TOI-540 b,1.2391491,0.01223,0.081,0.00212,76.3096949,-47.9375391,86.8,0,1.70E-06,14.823,9.17,9.755,8.9,3216,0.19,0.16,611,0.216789,0.470455,2458411.826
1015,TOI-421,b,TOI-421 b,5.19672,0.056,0.239,0.02256,81.8532824,-14.2767404,85.68,0.163,0.00049,9.931,8.219,8.547,8.071,5325,0.87,0.85,981.4,,1.107,2458441.285
1016,TOI-421,c,TOI-421 c,16.06819,0.1189,0.454,0.05166,81.8532824,-14.2767404,88.353,0.152,0.00035,9.931,8.219,8.547,8.071,5325,0.87,0.85,673.6,0.295865,2.71,2458440.132
1018,GJ 3473,b,GJ 3473 b,1.1980035,0.01589,0.113,0.00585,120.5936065,3.3371629,87.95,0,1.80E-06,13.74,9.063,9.627,8.829001,3347,0.36,0.36,773,0.105099,0.95,2458492.204
1019,GJ 3473,c,GJ 3473 c,15.509,0.0876,0.235,0.02331,120.5936065,3.3371629,,0,0.033,13.74,9.063,9.627,8.829001,3347,0.36,0.36,329.1,,,
1347,HD 215152,b,HD 215152 b,5.75999,0.057638,0.106,0.00572,340.8380941,-6.4020685,,0,0.00157,8.11,5.895,6.353,5.775,4935,0.73,0.77,,,,
1348,HD 215152,c,HD 215152 c,7.28243,0.067393,0.105,0.00541,340.8380941,-6.4020685,,0,0.00451,8.11,5.895,6.353,5.775,4935,0.73,0.77,,,,
1349,HD 215497,b,HD 215497 b,3.93404,0.05,0.214,0.02,341.652714,-56.5997984,,0.16,0.00066,8.96,6.917,7.339,6.784,5110,0.85,0.67,,,,
1350,HD 215497,c,HD 215497 c,567.94,1.282,1.11,0.33,341.652714,-56.5997984,,0.49,2.7,8.96,6.917,7.339,6.784,5113,,0.87,,,,
1353,HD 216770,b,HD 216770 b,118.45,0.46,1.26,0.57,343.9748751,-26.6595286,,0.37,0.55,8.11,6.429,6.752,6.311,5399,0.93,0.74,,,,
1354,HD 21693,b,HD 21693 b,22.6786,0.1455,0.25,0.0259,51.8040469,-58.3232726,,0.12,0.0085,7.95,6.288,6.607,6.193,5430,,0.8,,,,
1355,HD 21693,c,HD 21693 c,53.7357,0.2586,0.387,0.0547,51.8040469,-58.3232726,,0.07,0.0312,7.95,6.288,6.607,6.193,5430,,0.8,,,,
1359,HD 218566,b,HD 218566 b,225.7,0.69,0.832,0.2,347.297417,-2.2611645,,0.3,0.4,8.6,6.344,6.824,6.223,4730,0.85,0.76,,,,
1365,HD 224693,b,HD 224693 b,26.6904,0.191,1.25,0.7,359.9749837,-22.4279999,,0.104,0.0019,8.23,6.882,7.136,6.808,5894,1.93,1.31,,,,
1374,HD 2638,b,HD 2638 b,3.4442,0.04,1.28,0.42,7.4990038,-5.76496,,0,0.0002,9.44,7.417,7.858,7.308,5186,0.94,0.77,,,,
1376,HD 27894,b,HD 27894 b,18.02,0.125,1.25,0.665,65.1975693,-59.4096776,,0.047,0.01,9.36,7.174,7.639,7.071,4875,,0.8,,,,
1386,HD 31527,b,HD 31527 b,16.5535,0.1254,0.288,0.0329,73.9096193,-23.2413163,,0.1,0.0034,7.49,6.048,6.373,6.049,5898,,0.96,,,,
1387,HD 31527,c,HD 31527 c,51.2053,0.2663,0.343,0.0445,73.9096193,-23.2413163,,0.04,0.0373,7.49,6.048,6.373,6.049,5898,,0.96,,,,
1388,HD 31527,d,HD 31527 d,271.6737,0.8098,0.309,0.0372,73.9096193,-23.2413163,,0.24,2.1135,7.49,6.048,6.373,6.049,5898,,0.96,,,,
1390,HD 330075,b,HD 330075 b,3.38773,0.04,1.27,0.48,237.4054997,-49.9639199,,0,8.00E-05,9.36,7.253,7.725,7.171,5000,0.84,0.47,990,,,
1392,HD 33283,b,HD 33283 b,18.1991,0.1508,1.12,0.329,77.0044889,-26.7976689,,0.399,0.0017,8.05,6.729,6.983,6.646,5935,1.97,1.38,,,,
1394,HD 34445,b,HD 34445 b,1049,2.07,1.24,0.82,79.4207483,7.3527156,,0.27,11,7.31,5.848,6.122,5.79,5879,1.38,1.14,,,,
1400,HD 38529,b,HD 38529 b,14.30944,0.1294,1.24,0.797,86.6451363,1.1675866,,0.28,0.0003,5.92848,4.384,4.905,4.211,5541,2.56,1.41,,,,
1404,HD 40307,b,HD 40307 b,4.3123,0.0468,0.163,0.0126,88.5172191,-60.0237289,,0.2,0.0011,7.17,4.968,5.412,4.793,4956,0.72,0.77,910,,,
1405,HD 40307,c,HD 40307 c,9.6184,0.0799,0.219,0.0208,88.5172191,-60.0237289,,0.06,0.005,7.17,4.968,5.412,4.793,4956,0.72,0.77,696,,,
1406,HD 40307,d,HD 40307 d,20.432,0.1321,0.272,0.0299,88.5172191,-60.0237289,,0.07,0.022,7.17,4.968,5.412,4.793,4956,0.72,0.77,541,,,
1412,HD 4208,b,HD 4208 b,832.97,1.662,1.24,0.81,11.1125532,-26.5150392,,0.042,2.15,7.783,6.243,6.57,6.163,5717,0.85,0.88,,,,
1413,HD 4308,b,HD 4308 b,15.56,0.12,0.368,0.05,11.1652594,-65.6527159,,0,0.02,6.55,5.101,5.366,4.945,5686,1.02,0.93,,,,
