,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid
2103,GJ 536,b,GJ 536 b,8.7076,0.06661,0.194,0.01686,210.2597264,-2.6522901,,0.08,0.0022,9.71,5.935,6.516,5.683,3685,0.5,0.52,,,,
2119,WASP-127,b,WASP-127 b,4.178062,0.052,1.37,0.18,160.5587646,-3.8349989,88.7,0,2.00E-06,10.148,8.738,9.092,8.641,5620,1.39,1.08,1400,1.037,4.308,2457248.741
2154,GJ 3323,b,GJ 3323 b,5.3636,0.03282,0.109,0.00636,75.4868824,-6.9485133,,0.23,0.0007,12.57,7.065,7.617,6.736,3159,0.12,0.16,,,,
2155,GJ 3323,c,GJ 3323 c,40.54,0.1264,0.118,0.00727,75.4868824,-6.9485133,,0.17,0.21,12.57,7.065,7.617,6.736,3159,0.12,0.16,,,,
2156,GJ 273,b,GJ 273 b,18.6498,0.091101,0.135,0.00909,111.852091,5.225807,,0.1,0.0059,9.84,5.219,5.714,4.857,3382,0.29,0.29,,,,
2157,GJ 273,c,GJ 273 c,4.7234,0.036467,0.094,0.00371,111.852091,5.225807,,0.17,0.0004,9.84,5.219,5.714,4.857,3382,0.29,0.29,,,,
2158,GJ 3293,d,GJ 3293 d,48.1345,0.19394,0.238,0.02391,67.1484425,-25.1713396,,0.12,0.0628,11.945,7.749,8.362001,7.486,3466,0.4,0.42,,,,
2160,GJ 3293,e,GJ 3293 e,13.2543,0.08208,0.145,0.01032,67.1484425,-25.1713396,,0.21,0.0078,11.945,7.749,8.362001,7.486,3466,0.4,0.42,,,,
2167,LHS 1140,b,LHS 1140 b,24.736959,0.0936,0.154,0.02196,11.248632,-15.2741085,89.89,0.06,8.00E-05,14.15,9.092,9.612001,8.821,3216,0.21,0.18,235,,,2456915.712
2171,KELT-11,b,KELT-11 b,4.7361,0.06229,1.35,0.171,161.7069053,-9.3993646,85.3,0.0007,3.00E-05,8.04,6.251,6.616,6.122,5375,2.69,1.44,1712,0.265,7.1376,2457483.431
