Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
Eclipse End,2020-06-28 08:03:40.526739,1.1981075984607106,164.1015244758871,89.20159143892268,49.176998138427734,56.579368591308594
Eclipse Begin : GJ 9827 b,2020-07-04 07:52:27.427539,1.1710517563613387,81.2212917283588,168.20061012647065,44.85350799560547,58.64208221435547
Eclipse Mid,2020-07-04 08:30:24.067539,1.1142744302138257,80.91933832250953,168.47676746370166,28.1763973236084,63.82422637939453
Eclipse End,2020-07-04 09:08:20.707539,1.0910909514803617,80.59591268385618,168.7743088471754,6.291802883148193,66.42163848876953
Eclipse Begin : GJ 9827 b,2020-07-21 06:05:31.933779,1.2775782741727315,133.30026247741057,7.566699762978602,57.29359436035156,51.51129913330078
Eclipse Mid,2020-07-21 06:43:28.573779,1.1754259332613006,133.77928708324313,8.020256983033473,45.63817596435547,58.29393005371094
Eclipse End,2020-07-21 07:21:25.213779,1.1165439811942233,134.2482233213428,8.469591169812084,29.26827049255371,63.588279724121094
Eclipse Begin : GJ 9827 b,2020-07-27 07:10:12.114579,1.1049546463833468,140.72105981631557,86.25411374731368,22.73004150390625,64.82524108886719
Eclipse Mid,2020-07-27 07:48:08.754579,1.0900611588264928,140.25634506614668,86.69436133169657,359.8750305175781,66.54597473144531
Eclipse End,2020-07-27 08:26:05.394579,1.1052732578438313,139.77761003685367,87.14838752175513,337.0513000488281,64.79012298583984
Eclipse Begin : GJ 9827 b,2020-08-02 08:14:52.295379,1.116978880645105,58.514412054666025,163.22552522413477,330.53216552734375,63.543399810791016
Eclipse Mid,2020-08-02 08:52:48.935379,1.176253760110797,58.19608371898712,163.51887845348958,314.2188720703125,58.22871398925781
Eclipse End,2020-08-02 09:30:45.575379,1.2789385350442466,57.85622171539327,163.83361942943296,302.6042785644531,51.434722900390625
Eclipse Begin : GJ 9827 b,2020-08-13 05:23:16.620819,1.1558272667791785,76.66400861763745,72.1178099394403,41.75355911254883,59.90340042114258
Eclipse Mid,2020-08-13 06:01:13.260819,1.106724133185364,76.99119036680858,71.81205239066375,23.904800415039062,64.63104248046875
Eclipse End,2020-08-13 06:39:09.900819,1.0901056269391673,77.2970970661436,71.52746844286631,1.2260438203811646,66.54058837890625
Eclipse Begin : GJ 9827 b,2020-08-19 06:27:56.801619,1.0911925137608764,155.9361788003182,5.289336588209208,353.4601135253906,66.409423828125
Eclipse Mid,2020-08-19 07:05:53.441619,1.114704563337602,156.38782232401715,5.584790629637836,331.6212158203125,63.7792854309082
Eclipse End,2020-08-19 07:43:50.081619,1.1718727221678507,156.8253881250839,5.897660436309063,315.0018615722656,58.57627487182617
Eclipse Begin : GJ 9827 b,2020-08-25 07:32:36.982419,1.1990880348767101,115.78977365083438,83.70088398675838,310.6943054199219,56.50844192504883
Eclipse Mid,2020-08-25 08:10:33.622419,1.3161919777491393,115.31015146128937,84.15456549711399,300.06964111328125,49.4437141418457
Eclipse End,2020-08-25 08:48:30.262419,1.5039618427570831,114.81928239773403,84.61975663004934,292.2066345214844,41.67545700073242
Eclipse Begin : GJ 9827 b,2020-08-30 03:36:21.127059,1.2514661248566998,51.088811788032984,144.0249250411699,55.12363815307617,53.04069900512695
Eclipse Mid,2020-08-30 04:14:17.767059,1.1597006306310016,50.868797863754544,144.21907058816842,42.597625732421875,59.57485580444336
Eclipse End,2020-08-30 04:52:14.407059,1.1085939468404555,50.63639193769593,144.42551147870586,25.061979293823242,64.42799377441406
Eclipse Begin : GJ 9827 b,2020-09-11 05:45:41.488659,1.126550013673513,97.22049541526994,79.47754033585075,326.5957946777344,62.581390380859375
Eclipse Mid,2020-09-11 06:23:38.128659,1.1940375076379095,97.51894529435276,79.20173528708817,311.4068603515625,56.876495361328125
Eclipse End,2020-09-11 07:01:34.768659,1.307995819366234,97.79651630104935,78.94688488088133,300.5843505859375,49.86505889892578
Eclipse Begin : GJ 9827 b,2020-09-16 01:49:25.633299,1.41104997272196,160.5189369589358,20.240634516534477,64.62202453613281,45.12860107421875
Eclipse Mid,2020-09-16 02:27:22.273299,1.2581430977771386,160.9828458258591,19.777034927362138,55.712791442871094,52.63846206665039
Eclipse End,2020-09-16 03:05:18.913299,1.1636963642671116,161.44474366268662,19.312923117893206,43.42507553100586,59.24151611328125
Eclipse Begin : GJ 9827 b,2020-09-22 02:54:05.814099,1.142368102243972,108.69845505726452,63.87776490894362,38.41646194458008,61.08934020996094
Eclipse Mid,2020-09-22 03:32:02.454099,1.1006150881884724,108.31337895550938,64.23652140211861,19.391202926635742,65.31024169921875
Eclipse End,2020-09-22 04:09:59.094099,1.090463265777811,107.90618616622363,64.61730956834299,356.14031982421875,66.49732208251953
Eclipse Begin : GJ 9827 b,2020-10-09 01:07:10.320339,1.227852860326434,103.16893490986739,100.74472765499884,52.797000885009766,54.53102493286133
Eclipse Mid,2020-10-09 01:45:06.960339,1.1457659824305726,103.57063742554512,100.36523885754085,39.32334899902344,60.78314971923828
Eclipse End,2020-10-09 02:23:03.600339,1.102095770851736,103.95418453977898,100.00368489950999,20.608020782470703,65.14332580566406
Eclipse Begin : GJ 9827 b,2020-10-15 02:11:50.501139,1.0949032919909878,171.04341768916046,25.34363189313866,13.379447937011719,65.96863555908203
Eclipse Mid,2020-10-15 02:49:47.141139,1.0928500284901317,170.6887177671401,24.86465534863018,349.78338623046875,66.21121215820312
Eclipse End,2020-10-15 03:27:43.781139,1.1212932603910686,170.31551280441022,24.386483165939016,328.64971923828125,63.10377883911133
Eclipse Begin : GJ 9827 b,2020-10-21 03:16:30.681939,1.1377119371840563,85.12550484903839,58.92183329924981,322.9122314453125,61.516815185546875
Eclipse Mid,2020-10-21 03:54:27.321939,1.2139054771916598,84.71556337040015,59.304557206228075,308.7894287109375,55.46574020385742
Eclipse End,2020-10-21 04:32:23.961939,1.340124085915869,84.28492350333211,59.70810469875859,298.6878967285156,48.26223373413086
