Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
WASP-107 b,2021-05-12 01:09:18.160005,TRUE,2.7527999999999997 h,4430.0 K,9.378,43,90.75943558,0,156.3359257,230,230
WASP-107 b,2021-04-19 03:53:31.216005,TRUE,2.7527999999999997 h,4430.0 K,9.378,43,90.75943558,0,156.3359257,230,230
HR 858 b,2020-09-30 07:14:26.879992,TRUE,2.7096 h,6201.0 K,5.473,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-03-14 05:40:27.003529,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-03-08 04:05:35.075209,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-03-10 04:37:12.384649,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-03-12 05:08:49.694089,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-06-05 03:16:56.690569,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-06-03 02:45:19.381129,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-06-01 02:13:42.071689,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-05-30 01:42:04.762249,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-05-28 01:10:27.452809,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-03-22 07:46:56.241289,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-03-20 07:15:18.931849,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-03-18 06:43:41.622409,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
K2-3 b,2021-02-21 05:06:29.103988,TRUE,2.7259992 h,3896.0 K,9.421,42,90.75943558,0,156.3359257,230,230
WASP-167 b,2021-03-16 06:12:04.312969,TRUE,2.724 h,7000.0 K,9.929,42,90.75943558,0,156.3359257,230,230
