,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,pl_orbpererr2,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
1478,HD 86226,b,HD 86226 b,1628.0,2.73,1.28,0.45,149.1235154,-24.0991859,,0.059,22.0,-21.0,7.93,6.577,6.839,6.463,5863.0,1.05,1.02,176.0,,,,,
1486,HD 90156,b,HD 90156 b,49.77,0.25,0.395,0.057,155.98011440000002,-29.645103000000002,,0.31,0.07,-0.07,6.92,5.382,5.685,5.245,5599.0,,0.84,,,,,,
1488,HD 93083,b,HD 93083 b,143.58,0.477,1.2,0.37,161.08666719999997,-33.5776794,,0.14,0.6,-0.6,8.3,6.259,6.694,6.132,4995.0,,0.7,,,,,,
1494,HD 96167,b,HD 96167 b,498.04,1.332,1.25,0.717,166.3125657,-10.291345,,0.685,0.76,-0.76,8.09,6.621,6.926,6.554,5733.0,1.94,1.27,,,,,,
1497,HD 99109,b,HD 99109 b,439.29999,1.11,1.28,0.44,171.07155759999998,-1.5297610000000001,,0.09,5.6,-5.6,9.1,7.259,7.626,7.162,5282.0,0.98,0.76,,,,,,
1498,HD 99492,b,HD 99492 b,17.0431,0.12,0.44799999999999995,0.07,171.68968700000002,3.0071331000000003,,0.25,0.0047,-0.0047,7.56727,5.403,5.852,5.256,4815.0,0.83,0.48,,,,,,
1500,HIP 12961,b,HIP 12961 b,57.435,0.25,1.18,0.36,41.6800749,-23.0860048,,0.17,0.042,-0.042,10.25,6.927,7.558,6.736,3901.0,0.65,0.69,,,,,,
1583,WASP-29,b,WASP-29 b,3.92273,0.0457,0.77,0.23,357.8791976,-39.9071215,88.8,0.03,4e-06,-4e-06,11.331,8.875,9.353,8.783,4800.0,0.79,0.77,970.0,1.0,2.6486400000000003,2455830.1888599996,0.00016,-0.00016
1588,WASP-34,b,WASP-34 b,4.31768,0.0524,1.0,0.56,165.3993679,-23.8609457,85.2,0.04,5e-06,-5e-06,10.285,8.842,9.172,8.792,5700.0,0.91,0.96,1250.0,1.3,2.1024,2454647.5543400003,0.00064,-0.00064
1589,WASP-35,b,WASP-35 b,3.16158,0.04317,1.3,0.71,76.0818912,-6.2297801,87.96,0.0,2e-06,-2e-06,10.939,9.598,9.887,9.525,5990.0,1.08,1.05,,1.5,3.0672,2455531.47984,0.00015,-0.00015
1623,HD 38283,b,HD 38283 b,363.20001,1.02,1.25,0.4,84.2605324,-73.6998131,,0.41,1.6,-1.6,6.69,5.339,5.645,5.267,5981.0,1.49,1.37,,,,,,
1659,HD 77338,b,HD 77338 b,5.7361,0.06,0.368,0.05,135.30224750000002,-25.528234299999998,,0.09,0.0015,-0.0015,8.63,6.905,7.218,6.761,5341.0,0.97,1.37,,,,,,
1660,HD 207832,b,HD 207832 b,160.07,0.586,1.26,0.56,328.1517893,-26.0271749,,0.197,0.23,-0.23,8.78,7.297,7.587,7.207,5726.0,0.89,1.05,,,,,,
1661,HD 207832,c,HD 207832 c,1155.7,2.112,1.25,0.73,328.1517893,-26.0271749,,0.27,71.9,-37.0,8.78,7.297,7.587,7.207,5710.0,0.9,0.94,,,,,,
1676,WASP-63,b,WASP-63 b,4.37808,0.0574,1.41,0.37,94.3363562,-38.3233826,87.8,0.0,6e-06,-6e-06,11.155,9.463,9.818,9.393,5550.0,1.86,1.28,,0.61,5.34,2455921.6535900002,0.0005,-0.0005
1691,HD 40307,f,HD 40307 f,51.76,0.247,0.19,0.0164,88.5172191,-60.0237289,,0.02,0.5,-0.46,7.17,4.968,5.412,4.793,4956.0,0.72,0.77,398.0,,,,,
1692,HD 40307,g,HD 40307 g,197.8,0.6,0.22899999999999998,0.0223,88.5172191,-60.0237289,,0.29,5.7,-9.0,7.17,4.968,5.412,4.793,4956.0,0.72,0.77,255.0,,,,,
