Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
WASP-166 b,2021-01-01 05:42:24.920007,True,3.5999999999999996 h,6050.0 K,8.35,56,90.75943557587073,0.0,156.33592570258094,230,230,9408.0
WASP-166 b,2021-02-19 05:30:41.624007,True,3.5999999999999996 h,6050.0 K,8.35,56,90.75943557587073,0.0,156.33592570258094,230,230,9408.0
K2-233 b,2021-06-03 00:48:29.952009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2021-05-19 05:29:38.688009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2021-05-14 07:03:21.600009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2021-04-17 03:38:47.616009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2021-04-12 05:12:30.528009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2021-04-07 06:46:13.440009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2021-02-24 08:02:48.192009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2020-06-20 02:55:25.248009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2021-05-29 02:22:12.864009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
K2-233 b,2020-06-25 01:21:42.336009,True,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,9000.0
WASP-127 b,2021-02-21 05:53:09.118396,True,4.308 h,5620.0 K,9.092,67,90.75943557587073,0.0,156.33592570258094,230,230,8978.0
WASP-127 b,2021-03-14 03:15:11.902396,True,4.308 h,5620.0 K,9.092,67,90.75943557587073,0.0,156.33592570258094,230,230,8978.0
HR 858 b,2020-10-18 05:33:34.559992,True,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2020-09-30 07:14:26.879992,True,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2021-01-05 02:57:44.351992,True,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2020-11-23 02:11:49.919992,True,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2020-11-05 03:52:42.239992,True,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
WASP-20 b,2020-08-15 07:12:57.687348,True,3.4032 h,5940.0 K,9.701,53,90.75943557587073,0.0,156.33592570258094,230,230,8427.0
WASP-20 b,2020-10-13 02:18:32.412468,True,3.4032 h,5940.0 K,9.701,53,90.75943557587073,0.0,156.33592570258094,230,230,8427.0
WASP-20 b,2020-10-08 04:43:04.518708,True,3.4032 h,5940.0 K,9.701,53,90.75943557587073,0.0,156.33592570258094,230,230,8427.0
HD 15337 b,2020-08-06 07:26:46.464017,True,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-08-25 08:02:11.904017,True,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-10-07 03:21:54.144017,True,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-10-26 03:57:19.584017,True,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-11-14 04:32:45.024017,True,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 106315 b,2021-02-22 06:22:45.848014,True,3.7750008 h,6327.0 K,8.116,59,90.75943557587073,0.0,156.33592570258094,230,230,6962.0
HD 106315 b,2021-04-30 03:10:39.224014,True,3.7750008 h,6327.0 K,8.116,59,90.75943557587073,0.0,156.33592570258094,230,230,6962.0
WASP-80 b,2020-08-12 02:59:17.272756,True,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2020-06-30 04:11:23.082292,True,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2021-05-21 08:48:21.952948,True,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2020-08-15 04:36:59.714932,True,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2021-05-18 07:10:39.510772,True,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2020-07-03 05:49:05.524468,True,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-76 b,2020-11-22 02:40:59.976004,True,3.6936 h,6250.0 K,8.541,57,90.75943557587073,0.0,156.33592570258094,230,230,6498.0
WASP-76 b,2020-10-24 03:41:13.569604,True,3.6936 h,6250.0 K,8.541,57,90.75943557587073,0.0,156.33592570258094,230,230,6498.0
TOI-125 c,2020-10-17 05:00:27.359992,True,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
TOI-125 c,2020-12-11 02:41:33.215992,True,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
TOI-125 c,2020-08-23 07:19:21.503992,True,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
K2-265 b,2020-09-07 04:23:17.795199,True,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,6125.0
K2-265 b,2020-08-19 05:30:26.108799,True,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,6125.0
K2-265 b,2020-07-31 06:37:34.422399,True,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,6125.0
K2-265 b,2020-10-15 02:09:01.167999,True,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,6125.0
K2-265 b,2020-06-23 08:51:51.049599,True,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,6125.0
K2-290 b,2021-05-05 04:09:41.759997,True,4.9600008 h,6302.0 K,9.771,77,90.75943557587073,0.0,156.33592570258094,230,230,5929.0
HR 858 d,2020-12-01 02:28:01.919990,True,3.4344 h,6201.0 K,5.473,53,90.75943557587073,0.0,156.33592570258094,230,230,5618.0
HR 858 d,2020-10-17 04:23:13.919990,True,3.4344 h,6201.0 K,5.473,53,90.75943557587073,0.0,156.33592570258094,230,230,5618.0
WASP-107 b,2021-02-15 05:25:07.120005,True,2.7527999999999997 h,4430.0 K,9.378,43,90.75943557587073,0.0,156.33592570258094,230,230,5547.0
WASP-107 b,2021-04-19 03:53:31.216005,True,2.7527999999999997 h,4430.0 K,9.378,43,90.75943557587073,0.0,156.33592570258094,230,230,5547.0
WASP-107 b,2021-05-12 01:09:18.160005,True,2.7527999999999997 h,4430.0 K,9.378,43,90.75943557587073,0.0,156.33592570258094,230,230,5547.0
HD 219666 b,2020-09-03 06:43:54.335994,True,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-08-22 05:00:01.439994,True,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-09-09 07:35:50.783994,True,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-08-28 05:51:57.887994,True,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-08-16 04:08:04.991994,True,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
WASP-140 b,2020-11-17 04:39:52.864015,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2021-01-12 02:15:17.224015,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2021-01-03 03:36:01.326415,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2020-12-05 01:58:24.659215,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2020-11-26 03:19:08.761615,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2020-10-10 04:23:00.299215,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2020-10-01 05:43:44.401615,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2020-09-22 07:04:28.504015,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2020-11-08 06:00:36.966415,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-140 b,2020-09-13 08:25:12.606415,True,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,5290.0
WASP-185 b,2021-05-14 01:58:33.039986,True,4.6080000000000005 h,5900.0 K,9.873,72,90.75943557587073,0.0,156.33592570258094,230,230,5184.0
HD 106315 c,2021-03-22 04:40:10.711996,True,4.638 h,6327.0 K,8.116,72,90.75943557587073,0.0,156.33592570258094,230,230,5184.0
K2-233 c,2021-04-12 08:06:20.736007,True,2.6500008 h,4950.0 K,8.968,41,90.75943557587073,0.0,156.33592570258094,230,230,5043.0
K2-233 c,2020-07-25 01:33:53.280007,True,2.6500008 h,4950.0 K,8.968,41,90.75943557587073,0.0,156.33592570258094,230,230,5043.0
K2-233 c,2021-04-05 06:37:54.048007,True,2.6500008 h,4950.0 K,8.968,41,90.75943557587073,0.0,156.33592570258094,230,230,5043.0
DS Tuc A b,2020-08-03 06:05:53.375985,True,3.1764 h,5428.0 K,7.122,49,90.75943557587073,0.0,156.33592570258094,230,230,4802.0
DS Tuc A b,2020-09-29 05:19:37.862385,True,3.1764 h,5428.0 K,7.122,49,90.75943557587073,0.0,156.33592570258094,230,230,4802.0
Wolf 503 b,2020-06-25 00:37:32.447998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2021-05-27 02:12:41.759998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2021-05-09 02:07:35.903998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2021-05-03 02:05:53.951998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2021-04-21 02:02:30.047998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2020-07-19 00:44:20.255998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2020-07-07 00:40:56.351998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2021-06-08 02:16:05.663998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2021-06-02 02:14:23.711998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2020-06-19 00:35:50.495998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2020-07-13 00:42:38.303998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
Wolf 503 b,2021-05-15 02:09:17.855998,True,1.3210008 h,4716.0 K,8.324,20,90.75943557587073,0.0,156.33592570258094,230,230,4800.0
K2-38 c,2021-06-06 06:08:55.408019,True,2.5330008 h,5757.0 K,9.911,39,90.75943557587073,0.0,156.33592570258094,230,230,4563.0
K2-38 c,2021-05-16 03:13:09.424019,True,2.5330008 h,5757.0 K,9.911,39,90.75943557587073,0.0,156.33592570258094,230,230,4563.0
K2-38 c,2021-03-24 07:53:44.464019,True,2.5330008 h,5757.0 K,9.911,39,90.75943557587073,0.0,156.33592570258094,230,230,4563.0
K2-3 d,2021-04-17 01:54:07.792014,True,4.3249992 h,3896.0 K,9.421,67,90.75943557587073,0.0,156.33592570258094,230,230,4489.0
GJ 9827 c,2020-07-21 08:46:31.704318,True,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 9827 c,2020-08-01 07:26:18.109758,True,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 9827 c,2020-08-12 06:06:04.515198,True,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 9827 c,2020-08-23 04:45:50.920638,True,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 9827 c,2020-11-15 02:30:46.695678,True,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,3920.0
GJ 357 b,2021-03-07 01:23:57.120017,True,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2021-03-03 03:03:42.912017,True,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2020-12-26 07:19:41.376017,True,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2021-02-23 06:23:14.496017,True,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2020-12-30 05:39:55.584017,True,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2021-05-05 00:27:30.240017,True,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2021-05-01 02:07:16.032017,True,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
