Name,obs_time,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
K2-233 c,2021-04-05 06:31:20.311508,2.6500008 h,4950.0 K,8.968,41,90.75943557587073,0.0,156.33592570258094,230,230,5043.0
K2-233 c,2020-07-25 01:30:52.685268,2.6500008 h,4950.0 K,8.968,41,90.75943557587073,0.0,156.33592570258094,230,230,5043.0
WASP-85 A b,2021-04-18 01:25:51.902573,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,11200.0
WASP-85 A b,2021-04-10 02:12:46.813804,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,11200.0
WASP-85 A b,2021-04-02 02:59:50.082545,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,11200.0
WASP-85 A b,2021-03-17 04:34:23.480319,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,11200.0
WASP-85 A b,2021-03-09 05:21:54.209673,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,11200.0
WASP-85 A b,2021-02-21 06:57:23.783937,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,11200.0
WASP-85 A b,2021-02-13 07:45:22.083174,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,11200.0
K2-38 c,2021-06-06 06:00:42.625686,2.5330008 h,5757.0 K,9.911,39,90.75943557587073,0.0,156.33592570258094,230,230,4563.0
K2-38 c,2021-03-24 07:49:29.454096,2.5330008 h,5757.0 K,9.911,39,90.75943557587073,0.0,156.33592570258094,230,230,4563.0
K2-38 c,2021-05-16 03:04:50.160807,2.5330008 h,5757.0 K,9.911,39,90.75943557587073,0.0,156.33592570258094,230,230,4563.0
HD 21749 c,2020-11-20 02:10:47.868794,2.5150008 h,4640.0 K,6.081,39,90.75943557587073,0.0,156.33592570258094,230,230,1521.0
HD 15337 b,2020-11-14 04:27:12.893754,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-10-26 03:51:03.947004,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-08-25 07:58:07.399858,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-08-06 07:24:28.429695,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
HD 15337 b,2020-12-03 05:03:58.392655,2.4899999999999998 h,5125.0 K,7.553,38,90.75943557587073,0.0,156.33592570258094,230,230,7220.0
