Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
WASP-80 b,2021-05-18 07:10:39.510772,True,2.1310008 h,24,93.1575678000055,"(0.0, 0.0)",0.0,310.0,310.0
K2-233 b,2021-04-17 03:38:47.616009,True,1.9690007999999999 h,24,93.0657852815122,"(0.0, 0.0)",0.0,290.0,290.0
K2-233 b,2021-04-12 05:12:30.528009,True,1.9690007999999999 h,24,93.74597001213549,"(0.0, 0.0)",0.0,290.0,290.0
K2-233 b,2021-04-07 06:46:13.440009,True,1.9690007999999999 h,24,93.66728685380659,"(0.0, 0.0)",0.0,290.0,290.0
K2-233 b,2021-02-24 08:02:48.192009,True,1.9690007999999999 h,24,93.66303292670972,"(0.0, 0.0)",0.0,290.0,290.0
K2-233 b,2020-06-20 02:55:25.248009,True,1.9690007999999999 h,24,93.06060982667529,"(0.0, 0.0)",0.0,290.0,290.0
K2-233 b,2020-06-15 04:29:08.160009,True,1.9690007999999999 h,24,91.41923192906273,"(0.0, 0.0)",0.0,290.0,290.0
K2-290 b,2021-05-05 04:09:41.759997,True,4.9600008 h,24,92.45239409241245,"(0.0, 0.0)",0.0,710.0,730.0
WASP-80 b,2021-05-21 08:48:21.952948,True,2.1310008 h,24,93.16766706823873,"(0.0, 0.0)",0.0,310.0,310.0
WASP-80 b,2020-06-30 04:11:23.082292,True,2.1310008 h,24,93.06517378928743,"(0.0, 0.0)",0.0,310.0,310.0
WASP-80 b,2020-07-03 05:49:05.524468,True,2.1310008 h,24,93.23187578361774,"(0.0, 0.0)",0.0,310.0,310.0
WASP-80 b,2020-08-12 02:59:17.272756,True,2.1310008 h,24,93.29177969154622,"(0.0, 0.0)",0.0,310.0,310.0
K2-233 b,2020-06-25 01:21:42.336009,True,1.9690007999999999 h,24,93.74440325454509,"(0.0, 0.0)",0.0,290.0,290.0
WASP-84 b,2021-01-15 05:28:15.199981,True,2.74848 h,23,92.01026012237159,"(0.0, 0.0)",0.0,430.0,430.0
WASP-185 b,2020-06-10 03:07:57.519986,True,4.6080000000000005 h,22,90.03779843160856,"(0.0, 0.0)",0.0,750.0,750.0
TOI-270 b,2020-12-03 07:00:21.888016,True,1.3870008 h,22,91.45950566372846,"(0.0, 0.0)",0.0,220.0,220.0
TOI-270 b,2021-02-05 03:12:09.216016,True,1.3870008 h,22,90.93936462788135,"(0.0, 0.0)",0.0,220.0,220.0
TOI-270 b,2020-12-20 02:12:56.448016,True,1.3870008 h,22,93.38251452611391,"(0.0, 0.0)",0.0,220.0,220.0
TOI-270 b,2020-11-23 05:04:49.152016,True,1.3870008 h,22,93.30543460530124,"(0.0, 0.0)",0.0,220.0,220.0
TOI-270 b,2020-11-13 03:09:16.416016,True,1.3870008 h,22,92.6698156288469,"(0.0, 0.0)",0.0,220.0,220.0
